State,Sediment_kg_ha_yr,N_kg_ha_yr,P_kg_ha_yr,Area_ha,ReuseArea_20t_ha,ReuseArea_50t_ha,ReuseArea_75t_ha,ReuseArea_100t_ha,Sed_total_kg_yr,N_total_kg_yr,P_total_kg_yr,N_frac,P_frac,Gross_value_USD_yr,AreaCovered_5t_ha,N_perha_5t_kg,P_perha_5t_kg,rN_5t,rP_5t,rStar_5t,Ha_full_replaced_5t,DemandCapped_value_5t_USD_yr,AreaCovered_20t_ha,N_perha_20t_kg,P_perha_20t_kg,rN_20t,rP_20t,rStar_20t,Ha_full_replaced_20t,DemandCapped_value_20t_USD_yr,AreaCovered_50t_ha,N_perha_50t_kg,P_perha_50t_kg,rN_50t,rP_50t,rStar_50t,Ha_full_replaced_50t,DemandCapped_value_50t_USD_yr,AreaCovered_75t_ha,N_perha_75t_kg,P_perha_75t_kg,rN_75t,rP_75t,rStar_75t,Ha_full_replaced_75t,DemandCapped_value_75t_USD_yr,AreaCovered_100t_ha,N_perha_100t_kg,P_perha_100t_kg,rN_100t,rP_100t,rStar_100t,Ha_full_replaced_100t,DemandCapped_value_100t_USD_yr
IN,98.63043752414764,6.320601674133332,0.4738464462420471,79.56402,0.3923717051890016,0.1569486820756006,0.1046324547170671,0.0784743410378003,7847.434103780033,502.89247801277793,37.70112812573116,0.06408368281430225,0.0048042618296814865,1152.9218414793265,1.5694868207560067,320.4184140715113,24.021309148407433,1.0,1.0,1.0,1.5694868207560067,630.3686866884425,0.39237170518900166,1281.6736562860451,96.08523659362973,1.0,1.0,1.0,0.39237170518900166,157.59217167211062,0.15694868207560067,3204.184140715113,240.2130914840743,1.0,1.0,1.0,0.15694868207560067,63.03686866884425,0.10463245471706711,4806.276211072669,360.31963722611147,1.0,1.0,1.0,0.10463245471706711,42.02457911256283,0.07847434103780034,6408.368281430226,480.4261829681486,1.0,1.0,1.0,0.07847434103780034,31.518434334422125
MI,108.43837004323144,5.317031177288742,0.4296359240943548,135.97920000000002,0.737268140389129,0.2949072561556516,0.196604837437101,0.1474536280778258,14745.36280778258,723.0056458627814,58.4215492496111,0.04903274712787536,0.003962028605954429,1680.2043901510685,2.949072561556516,245.1637356393768,19.810143029772146,1.0,0.9004610468078248,0.9004610468078248,2.6555249658914137,1066.5650473006274,0.737268140389129,980.6549425575072,79.24057211908858,1.0,1.0,1.0,0.737268140389129,296.11637590588975,0.2949072561556516,2451.6373563937677,198.10143029772146,1.0,1.0,1.0,0.2949072561556516,118.44655036235591,0.19660483743710105,3677.4560345906516,297.1521454465822,1.0,1.0,1.0,0.19660483743710105,78.96436690823727,0.1474536280778258,4903.2747127875355,396.2028605954429,1.0,1.0,1.0,0.1474536280778258,59.223275181177954
NY,310.6840108347421,10.374031306132856,0.548953032999,12.86946,0.199916772503864,0.0799667090015456,0.0533111393343637,0.0399833545007728,3998.33545007728,133.50818093302456,7.064729100059311,0.03339094045509466,0.001766917555634999,290.26805723073494,0.799667090015456,166.9547022754733,8.834587778174996,1.0,0.4015721717352271,0.4015721717352271,0.321124050002696,128.97626344308281,0.199916772503864,667.8188091018932,35.33835111269998,1.0,1.0,1.0,0.199916772503864,80.29457250845194,0.0799667090015456,1669.5470227547328,88.34587778174995,1.0,1.0,1.0,0.0799667090015456,32.11782900338077,0.05331113933436373,2504.3205341320995,132.51881667262492,1.0,1.0,1.0,0.05331113933436373,21.411886002253848,0.0399833545007728,3339.0940455094656,176.6917555634999,1.0,1.0,1.0,0.0399833545007728,16.058914501690385
OH,702.0773989792164,13.602418566078333,1.3608831777111945,6.4752,0.2273045786935111,0.0909218314774044,0.0606145543182696,0.0454609157387022,4546.0915738702215,88.07838069907042,8.811990752315527,0.019374528486254556,0.0019383663107370316,213.7885298611775,0.9092183147740444,96.87264243127278,9.691831553685157,0.6458176162084852,0.44053779789477987,0.44053779789477987,0.4005450341961603,160.8749075345458,0.2273045786935111,387.4905697250911,38.76732621474063,1.0,1.0,1.0,0.2273045786935111,91.29461098646179,0.09092183147740443,968.7264243127278,96.91831553685158,1.0,1.0,1.0,0.09092183147740443,36.51784439458471,0.06061455431826962,1453.0896364690916,145.37747330527736,1.0,1.0,1.0,0.06061455431826962,24.34522959638981,0.045460915738702215,1937.4528486254555,193.83663107370316,1.0,1.0,1.0,0.045460915738702215,18.258922197292357
WI,1000.176325576242,13.154593544783694,2.109946019788785,1269.4224900000002,63.48231608260219,25.39292643304088,16.92861762202725,12.69646321652044,1269646.3216520438,16698.736892557245,2678.412930205869,0.013152274462410216,0.002109574047929159,45943.69016213871,253.92926433040876,65.76137231205108,10.547870239645794,0.4384091487470072,0.479448647256627,0.4384091487470072,111.32491261704828,44712.53790351127,63.48231608260219,263.0454892482043,42.19148095858318,1.0,1.0,1.0,63.48231608260219,25497.037431416342,25.392926433040877,657.6137231205108,105.47870239645795,1.0,1.0,1.0,25.392926433040877,10198.814972566537,16.92861762202725,986.4205846807662,158.21805359468692,1.0,1.0,1.0,16.92861762202725,6799.209981711025,12.696463216520439,1315.2274462410217,210.9574047929159,1.0,1.0,1.0,12.696463216520439,5099.407486283269
