Year,Effective_Area_ha,Effective_Area_N_ha,Effective_Area_P_ha,Total_Sediment_kg,Total_N_kg,Total_P_kg,Particulate_P_kg,Particulate_N_kg,Sediment_kg_ha_yr,N_kg_ha_yr,P_kg_ha_yr,gP_per_kg_sediment,gN_per_kg_sediment,gP_recovered_per_ha_20t,kgP_recovered_per_ha_20t,gN_recovered_per_ha_20t,kgN_recovered_per_ha_20t,Particulate_P_kg_ha_yr,Particulate_N_kg_ha_yr,ReuseArea_20t_ha,N_applied_kg_per_ha,P_applied_kg_per_ha,N_usable_kg_per_ha,P_usable_kg_per_ha,Percent_saved_N,Percent_saved_P,Percent_saved_total,Percent_saved_total_pct,Cost_reduction_per_ha_limiting,Cost_reduction_total_USD_limiting,N_saving_USD_per_ha,P_saving_USD_per_ha,Cost_reduction_per_ha,Cost_reduction_total_USD
2002.0,58.11285216,58.11285216,58.11285216,4050.760334896252,2.38816962,0.787062805,0.38207199,2.0386121174,69.70506840282837,0.0410953778937702,0.0135436960284277,0.0943210554099063,0.5032665348867679,1886.4211081981264,1.8864211081981264,10065.330697735357,10.065330697735355,0.0065746556191744,0.0350802282391365,0.0506345041862031,10.065330697735355,1.8864211081981264,4.026132279094142,1.207309509246801,0.026840881860627615,0.05487770496576368,0.026840881860627615,2.6840881860627617,10.780371790502475,0.5458587805550233,7.609390007487928,6.483252064655321,14.09264207214325,0.7135739439965992
2003.0,124.35988488,124.35988488,124.35988488,54306.42950565371,12.393871871999998,4.465316547,2.870136406,10.5758058722,436.6876791342822,0.0996613327839548,0.0359064062443348,0.0528507661454929,0.1947431633504644,1057.015322909858,1.057015322909858,3894.863267009288,3.894863267009288,0.0230792784085439,0.0850419400307827,0.6788303688206714,3.894863267009288,1.057015322909858,1.5579453068037152,0.6764898066623092,0.010386302045358101,0.0307495366664686,0.010386302045358101,1.03863020453581,4.171554353497627,2.8317777803402717,2.9445166298590215,3.6327502617766005,6.577266891635622,4.4648485098810005
2004.0,366.88796496,366.88796496,366.88796496,145483.08056053348,33.42816297,8.8761893885,4.7909898208,20.594668111,396.53271422079706,0.0911127269427998,0.0241931876655254,0.0329315945355345,0.1415605720723713,658.6318907106916,0.6586318907106915,2831.211441447426,2.831211441447426,0.0130584545647942,0.0561333978705061,1.8185385070066684,2.831211441447426,0.6586318907106915,1.1324845765789704,0.4215244100548426,0.007549897177193136,0.0191602004570383,0.007549897177193136,0.7549897177193136,3.032340702247851,5.5144283334013595,2.140395849734254,2.2635860819945046,4.403981931728758,8.00881072701036
2005.0,942.3508881599998,942.3508881599998,942.3508881599998,79776.04356863217,155.907309637,28.356283782300004,7.440135683,60.682285753,84.65641044218675,0.1654450710408083,0.0300910034028486,0.0932627810327441,0.7606580000522887,1865.2556206548836,1.8652556206548836,15213.160001045771,15.213160001045772,0.0078952922700877,0.0643945758585594,0.9972005446079022,15.213160001045772,1.8652556206548836,6.085264000418309,1.1937635972191256,0.0405684266694554,0.054261981691778434,0.0405684266694554,4.05684266694554,16.293902887520066,16.24828883322328,11.501148960790605,6.4105105170667045,17.91165947785731,17.861516586150604
2006.0,955.01754744,955.01754744,955.01754744,327626.08125843003,318.136315468,36.32908317549999,18.7489118029,90.013791318,343.0576559945497,0.3331209110458646,0.0380402258292352,0.0572265545248546,0.2747454994188864,1144.5310904970927,1.144531090497093,5494.909988377727,5.494909988377727,0.0196320076559409,0.094253547025695,4.095326015730375,5.494909988377727,1.144531090497093,2.197963995351091,0.7324998979181395,0.014653093302340606,0.03329544990536998,0.014653093302340606,1.4653093302340607,5.885268393952081,24.102092763307677,4.154151951213562,3.9335244518204093,8.08767640303397,33.12167158015368
2007.0,432.6089064,432.6089064,432.6089064,36201.373676857125,103.162734036,7.8778625442,2.8510183947,17.949148856,83.68152652729835,0.2384665052194126,0.0182101256531134,0.0787544257339219,0.495814026733316,1575.0885146784383,1.5750885146784384,9916.28053466632,9.91628053466632,0.0065902905661953,0.0414904746306905,0.4525171709607141,9.91628053466632,1.5750885146784384,3.9665122138665283,1.0080566493942007,0.02644341475911019,0.045820756790645484,0.02644341475911019,2.644341475911019,10.620733103849016,4.806064097682561,7.4967080842077385,5.413264207246858,12.909972291454597,5.841984138510242
2008.0,192.75175128,192.75175128,192.75175128,207123.0546283136,180.54945754,15.5072919972,8.215624017,34.00272283400001,1074.5586136202585,0.936694252275434,0.0804521458000835,0.0396654251345563,0.1641667698220199,793.3085026911272,0.7933085026911272,3283.3353964403977,3.283335396440398,0.042622824241247,0.1764068165824657,2.58903818285392,3.283335396440398,0.7933085026911272,1.3133341585761593,0.5077174417223215,0.008755561057174396,0.023078065532832794,0.008755561057174396,0.8755561057174396,3.516583543003524,9.104569066031845,2.482201559708941,2.7264426620488664,5.208644221757807,13.485378771032403
2009.0,123.8337936,123.8337936,123.8337936,28991.116781883484,97.445683076,15.1370448264,3.8068670253,22.373786946000003,234.11312808140835,0.7869070327503881,0.1222367851807457,0.1313114997928919,0.7717462943677064,2626.2299958578387,2.626229995857839,15434.925887354128,15.434925887354128,0.0307417459695751,0.1806759390596591,0.3623889597735436,15.434925887354128,2.626229995857839,6.173970354941652,1.680787197349017,0.04115980236627768,0.07639941806131895,0.04115980236627768,4.115980236627768,16.531423022391767,5.990805192660962,11.668803970839722,9.025827249764221,20.694631220603945,7.499505880931762
2010.0,120.75818304,120.75818304,120.75818304,6008.145760970322,19.592979465,3.5854047792,0.8254301244999999,5.411268761,49.75352899256675,0.1622497040925997,0.0296907811043527,0.1373851696245618,0.9006553729359046,2747.7033924912366,2.7477033924912364,18013.107458718092,18.013107458718093,0.0068353970200643,0.0448107832096775,0.075101822012129,18.013107458718093,2.7477033924912364,7.205242983487238,1.7585301711943915,0.04803495322324825,0.07993318959974506,0.04803495322324825,4.803495322324825,19.292758612585427,1.4489213234453597,13.617909238790878,9.443307019313883,23.06121625810476,1.7319393587993994
2011.0,164.99031912,164.99031912,164.99031912,29726.87798333561,26.610926711,4.093348689799999,1.7409707195999995,11.112159987999998,180.17346800641556,0.1612878067812297,0.0248096295081582,0.0585655419508217,0.3738085107433511,1171.310839016434,1.171310839016434,7476.170214867023,7.476170214867023,0.0105519567989547,0.067350375750943,0.3715859747916951,7.476170214867023,1.171310839016434,2.990468085946809,0.7496389369705178,0.01993645390631206,0.034074497135023536,0.01993645390631206,1.993645390631206,8.007277346931176,2.975391958386879,5.651984682439469,4.025561091531681,9.67754577397115,3.5960402800123195
