Year,Effective_Area_ha,Effective_Area_N_ha,Effective_Area_P_ha,Total_Sediment_kg,Total_N_kg,Total_P_kg,Particulate_P_kg,Particulate_N_kg,Sediment_kg_ha_yr,N_kg_ha_yr,P_kg_ha_yr,gP_per_kg_sediment,gN_per_kg_sediment,gP_recovered_per_ha_20t,kgP_recovered_per_ha_20t,gN_recovered_per_ha_20t,kgN_recovered_per_ha_20t,Particulate_P_kg_ha_yr,Particulate_N_kg_ha_yr
2002.0,58.112852159999996,58.112852159999996,58.112852159999996,4050.760334896252,2.38816962,0.787062805,0.38207199000000003,2.0386121174,69.70506840282837,0.04109537789377021,0.013543696028427735,0.09432105540990632,0.5032665348867679,1886.4211081981264,1.8864211081981264,10065.330697735357,10.065330697735357,0.006574655619174484,0.03508022823913656
2003.0,124.35988488,124.35988488,124.35988488,54306.42950565371,12.393871871999998,4.465316547,2.870136406,10.5758058722,436.6876791342822,0.09966133278395488,0.03590640624433489,0.0528507661454929,0.1947431633504644,1057.015322909858,1.057015322909858,3894.863267009288,3.894863267009288,0.02307927840854399,0.0850419400307827
2004.0,366.88796496,366.88796496,366.88796496,145483.08056053348,33.42816297,8.8761893885,4.7909898208,20.594668110999997,396.53271422079706,0.09111272694279987,0.024193187665525438,0.03293159453553458,0.1415605720723713,658.6318907106916,0.6586318907106915,2831.211441447426,2.831211441447426,0.013058454564794292,0.05613339787050615
2005.0,942.3508881599998,942.3508881599998,942.3508881599998,79776.04356863217,155.907309637,28.356283782300004,7.440135683,60.682285752999995,84.65641044218675,0.16544507104080833,0.030091003402848652,0.09326278103274417,0.7606580000522887,1865.2556206548834,1.8652556206548834,15213.160001045773,15.213160001045773,0.00789529227008778,0.06439457585855947
2006.0,955.0175474399999,955.0175474399999,955.0175474399999,327626.08125843003,318.136315468,36.32908317549999,18.7489118029,90.013791318,343.0576559945497,0.3331209110458646,0.038040225829235254,0.05722655452485463,0.2747454994188864,1144.5310904970927,1.1445310904970927,5494.909988377727,5.494909988377727,0.01963200765594092,0.09425354702569506
2007.0,432.60890639999997,432.60890639999997,432.60890639999997,36201.373676857125,103.16273403599999,7.8778625442,2.8510183947,17.949148856,83.68152652729835,0.23846650521941265,0.018210125653113463,0.07875442573392191,0.495814026733316,1575.0885146784383,1.5750885146784384,9916.280534666319,9.916280534666319,0.006590290566195334,0.041490474630690596
2008.0,192.75175127999998,192.75175127999998,192.75175127999998,207123.0546283136,180.54945754000002,15.5072919972,8.215624017,34.00272283400001,1074.5586136202583,0.936694252275434,0.08045214580008354,0.039665425134556356,0.1641667698220199,793.3085026911272,0.7933085026911272,3283.3353964403977,3.283335396440398,0.04262282424124702,0.17640681658246574
2009.0,123.83379359999999,123.83379359999999,123.83379359999999,28991.116781883484,97.445683076,15.1370448264,3.8068670252999994,22.373786946000003,234.11312808140835,0.7869070327503881,0.1222367851807457,0.13131149979289194,0.7717462943677064,2626.2299958578387,2.626229995857839,15434.925887354128,15.434925887354128,0.03074174596957514,0.18067593905965912
2010.0,120.75818303999999,120.75818303999999,120.75818303999999,6008.145760970322,19.592979465,3.5854047791999997,0.8254301244999999,5.411268761,49.75352899256675,0.16224970409259978,0.029690781104352727,0.13738516962456182,0.9006553729359046,2747.7033924912366,2.7477033924912364,18013.107458718092,18.013107458718093,0.006835397020064338,0.044810783209677546
2011.0,164.99031912,164.99031912,164.99031912,29726.87798333561,26.610926710999998,4.093348689799999,1.7409707195999995,11.112159987999998,180.17346800641553,0.16128780678122975,0.024809629508158255,0.0585655419508217,0.37380851074335114,1171.3108390164339,1.171310839016434,7476.170214867023,7.476170214867023,0.01055195679895476,0.06735037575094302
2012.0,267.61858728,267.61858728,267.61858728,60166.42268179476,18.824097112999997,4.2976420626000005,2.7516299028,11.795933754000002,224.82153909154573,0.07033927390590775,0.016058832483498344,0.04573364644517235,0.19605509565336401,914.6729289034471,0.9146729289034471,3921.1019130672803,3.92110191306728,0.010281908782072247,0.04407740835152951
2013.0,283.03710863999993,283.03710863999993,283.03710863999993,263874.1699258061,94.81928444100001,15.353174756900001,9.7517486763,41.6511571709,932.2953134793095,0.3350065470093619,0.05424438806159508,0.03695605628638041,0.15784476814313095,739.1211257276083,0.7391211257276082,3156.895362862619,3.156895362862619,0.03445395808047003,0.1471579375970692
2014.0,289.02645551999996,289.02645551999996,289.02645551999996,308126.68803123455,106.833776855,21.862166773099997,15.487877793699997,60.80448698200001,1066.0847204345725,0.3696332111286863,0.07564071162194073,0.050264642419192214,0.19733599634133708,1005.2928483838443,1.0052928483838444,3946.719926826742,3.946719926826742,0.05358636726120828,0.21037689049123215
2015.0,386.71755936,386.71755936,386.71755936,83361.24513858238,81.41115556599999,8.3376484293,5.3177897382,21.3075357352,215.56105514459043,0.2105183837546238,0.0215600461564208,0.06379211022291639,0.25560481612022073,1275.8422044583278,1.2758422044583277,5112.096322404414,5.1120963224044145,0.01375109458955187,0.05509844386291381
2016.0,360.21065255999997,360.21065255999997,360.21065255999997,149143.46134952892,90.20278106399999,13.4542220365,9.903516325,35.0592744426,414.04511579425383,0.2504167503735193,0.037350983211855295,0.0664026182266909,0.23507081118652565,1328.052364533818,1.328052364533818,4701.416223730513,4.701416223730512,0.027493679752711865,0.0973299212375742
2017.0,375.30542544,375.30542544,375.30542544,292728.5733314351,103.87149085600001,19.2410236511,14.155956350599999,52.6308660677,779.9742649290146,0.27676522590693514,0.051267640558465784,0.048358642238085336,0.17979408524671053,967.1728447617068,0.9671728447617067,3595.8817049342106,3.5958817049342104,0.03771849643261581,0.14023475947888764
