Year,Total_Sediment_kg,ReuseArea_20t_ha,kgP_recovered_per_ha_20t,kgN_recovered_per_ha_20t
2002.0,4050.760334896252,0.20253801674481262,1.8864211081981264,10.065330697735355
2003.0,54306.42950565371,2.7153214752826855,1.057015322909858,3.894863267009288
2004.0,145483.08056053348,7.274154028026674,0.6586318907106915,2.831211441447426
2005.0,79776.04356863217,3.988802178431609,1.8652556206548836,15.213160001045772
2006.0,327626.08125843003,16.3813040629215,1.144531090497093,5.494909988377727
2007.0,36201.373676857125,1.8100686838428564,1.5750885146784384,9.91628053466632
2008.0,207123.0546283136,10.35615273141568,0.7933085026911272,3.283335396440398
2009.0,28991.116781883484,1.4495558390941743,2.626229995857839,15.434925887354128
2010.0,6008.145760970322,0.3004072880485161,2.7477033924912364,18.013107458718093
2011.0,29726.87798333561,1.4863438991667806,1.171310839016434,7.476170214867023
2012.0,60166.42268179476,3.008321134089738,0.9146729289034472,3.92110191306728
2013.0,263874.1699258061,13.193708496290306,0.7391211257276082,3.156895362862619
2014.0,308126.68803123455,15.406334401561727,1.0052928483838444,3.946719926826742
2015.0,83361.24513858238,4.168062256929119,1.2758422044583275,5.112096322404415
2016.0,149143.46134952892,7.457173067476446,1.328052364533818,4.701416223730512
2017.0,292728.5733314351,14.636428666571755,0.9671728447617068,3.5958817049342104
2018.0,63285.27633586547,3.1642638167932735,1.2481929786444337,6.249876064392648
2019.0,118661.4039751718,5.93307019875859,1.5473006920128525,7.370489798241355
2020.0,128412.05348949696,6.420602674474848,0.894678718671817,3.6183577221744514
2021.0,135100.42969178536,6.755021484589268,1.0699020740034615,2.883301494870709
2022.0,119913.90094659652,5.995695047329826,1.6252717422043934,4.399493115272333
2023.0,26670.17800565469,1.3335089002827345,1.7056964465837017,8.428108077581697
